online_order,book_table,votes,location,rest_type,cuisines,Cost2plates,Type,Is_Success
Yes,No,32,Banashankari,Quick Bites,others,150.0,Delivery,0
Yes,No,247,Banashankari,Casual Dining,North Indian,500.0,Delivery,0
Yes,Yes,2339,Jayanagar,Casual Dining,others,1500.0,Delivery,1
Yes,No,337,Jayanagar,Quick Bites,others,300.0,Delivery,1
Yes,No,135,Banashankari,Casual Dining,others,800.0,Delivery,1
Yes,No,172,others,Casual Dining,"North Indian, Chinese",700.0,Delivery,0
Yes,No,105,Banashankari,Casual Dining,others,700.0,Delivery,0
Yes,No,504,Banashankari,Cafe,others,550.0,Delivery,1
Yes,No,36,others,Quick Bites,others,200.0,Delivery,0
Yes,No,39,others,Quick Bites,North Indian,300.0,Delivery,0
Yes,No,5,others,Casual Dining,others,500.0,Delivery,0
Yes,No,0,Basavanagudi,Quick Bites,"North Indian, Chinese",300.0,Delivery,1
Yes,Yes,1129,Jayanagar,Casual Dining,others,1300.0,Delivery,1
Yes,No,56,others,Quick Bites,"North Indian, Chinese",350.0,Delivery,1
Yes,No,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500.0,Delivery,1
Yes,No,412,Jayanagar,Casual Dining,others,700.0,Delivery,1
Yes,Yes,142,Jayanagar,Casual Dining,others,1000.0,Delivery,1
Yes,No,23,Jayanagar,Quick Bites,others,400.0,Delivery,0
Yes,No,143,Jayanagar,Casual Dining,others,750.0,Delivery,0
Yes,Yes,80,Jayanagar,Casual Dining,others,500.0,Delivery,0
Yes,No,16,JP Nagar,Casual Dining,South Indian,400.0,Delivery,0
Yes,No,181,Jayanagar,Beverage Shop,others,250.0,Delivery,1
Yes,No,70,Jayanagar,Quick Bites,others,200.0,Delivery,1
Yes,No,164,Basavanagudi,Quick Bites,others,600.0,Delivery,1
Yes,No,58,others,Quick Bites,others,650.0,Delivery,0
No,No,148,Basavanagudi,"Casual Dining, Cafe",others,550.0,Delivery,1
No,No,206,Basavanagudi,Quick Bites,others,450.0,Delivery,1
No,No,0,Basavanagudi,Bakery,"Bakery, Desserts",300.0,Delivery,1
No,No,0,JP Nagar,Dessert Parlor,Ice Cream,200.0,Delivery,1
No,No,16,others,Quick Bites,South Indian,300.0,Delivery,0
No,No,217,Basavanagudi,Casual Dining,others,450.0,Delivery,0
No,No,46,Basavanagudi,Quick Bites,others,450.0,Delivery,0
No,No,148,Basavanagudi,Quick Bites,others,150.0,Delivery,1
No,No,30,Basavanagudi,Dessert Parlor,Desserts,250.0,Delivery,0
No,No,8,others,Casual Dining,others,800.0,Delivery,0
No,No,4,Jayanagar,Quick Bites,South Indian,250.0,Delivery,0
No,No,15,Basavanagudi,"Bakery, Quick Bites",Bakery,400.0,Delivery,0
No,No,0,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,1
No,No,0,others,Quick Bites,"North Indian, Chinese",300.0,Delivery,1
No,No,0,Jayanagar,Quick Bites,others,200.0,Delivery,1
Yes,No,9,others,Quick Bites,Street Food,200.0,Delivery,0
No,No,0,others,Quick Bites,"North Indian, Chinese, Biryani",350.0,Delivery,1
Yes,No,31,others,Quick Bites,"South Indian, North Indian",300.0,Delivery,0
Yes,No,177,Jayanagar,Casual Dining,others,700.0,Delivery,0
Yes,No,22,Basavanagudi,Sweet Shop,others,250.0,Delivery,0
Yes,No,10,others,Beverage Shop,others,100.0,Delivery,0
Yes,No,136,Banashankari,Quick Bites,others,600.0,Delivery,0
